date,start,startformat,end,endformat,categorynum,category,details,amount,work,anxiety,attempts,day,times
04-08,22:00:00,04/08/2020 22:00:00,11:00 PM,04/08/2020 23:00:00,4,Socializing,Games with Friends,2,school,5,3,Wednesday,
04-08,23:00:00,04/08/2020 23:00:00,12:00 AM,04/08/2020 00:00:00,4,Socializing,Movies with Friends,2,school,5,2,Wednesday,
04-09,1:00:00,04/09/2020 01:00:00,2:00 AM,04/09/2020 02:00:00,3,Social Media,Twitter,2,school,3,1,Thursday,
04-09,4:00:00,04/09/2020 04:00:00,5:00 AM,04/09/2020 05:00:00,4,Socializing,Movies with Friends,2,school,3,2,Thursday,
04-09,19:00:00,04/09/2020 19:00:00,8:00 PM,04/09/2020 20:00:00,4,Socializing,Games with Friends,2,school,3,3,Thursday,
04-09,21:00:00,04/09/2020 21:00:00,10:00 PM,04/09/2020 22:00:00,3,Social Media,Twitter,2,school,3,4,Thursday,
04-09,22:00:00,04/09/2020 22:00:00,11:00 PM,04/09/2020 23:00:00,3,Social Media,Twitter,2,school,3,1,Thursday,
04-10,0:00:00,04/10/2020 00:00:00,1:00 AM,04/10/2020 01:00:00,5,ETC,Online Shopping,2,school,3,2,Friday,
04-10,3:00:00,04/10/2020 03:00:00,4:00 AM,04/10/2020 04:00:00,4,Socializing,Games with Friends,2,school,3,3,Friday,
04-10,4:00:00,04/10/2020 04:00:00,5:00 AM,04/10/2020 05:00:00,4,Socializing,Twitter,2,school,3,1,Friday,
04-10,15:00:00,04/10/2020 15:00:00,4:00 PM,04/10/2020 16:00:00,3,Social Media,Twitter,2,school,3,2,Friday,
04-10,18:00:00,04/10/2020 18:00:00,7:00 PM,04/10/2020 19:00:00,3,Social Media,Twitter,2,school,3,4,Friday,
04-10,22:00:00,04/10/2020 22:00:00,11:00 PM,04/10/2020 23:00:00,4,Socializing,Movies with Friends,2,school,3,4,Friday,
04-10,23:00:00,04/10/2020 23:00:00,12:00 AM,04/10/2020 00:00:00,4,Socializing,Movies with Friends,2,school,3,1,Friday,
04-11,0:00:00,04/11/2020 00:00:00,1:00 AM,04/11/2020 01:00:00,4,Socializing,Twitter,2,school,4,2,Saturday,
04-11,1:00:00,04/11/2020 01:00:00,2:00 AM,04/11/2020 02:00:00,4,Socializing,Twitter,2,school,4,3,Saturday,
04-11,2:00:00,04/11/2020 02:00:00,3:00 AM,04/11/2020 03:00:00,4,Socializing,Twitter,2,school,4,4,Saturday,
04-11,3:00:00,04/11/2020 03:00:00,4:00 AM,04/11/2020 04:00:00,3,Social Media,Twitter,2,school,4,1,Saturday,
04-11,20:00:00,04/11/2020 20:00:00,9:00 PM,04/11/2020 21:00:00,3,Social Media,Twitter + Discord,2,school,4,2,Saturday,
04-11,22:00:00,04/11/2020 22:00:00,11:00 PM,04/11/2020 23:00:00,3,Social Media,Twitter + Discord,2,school,4,3,Saturday,
04-12,2:00:00,04/12/2020 02:00:00,3:00 AM,04/12/2020 03:00:00,3,Social Media,Twitter + Discord,2,school,5,4,Sunday,
04-12,3:00:00,04/12/2020 03:00:00,4:00 AM,04/12/2020 04:00:00,3,Social Media,Twitter,2,school,5,1,Sunday,
04-12,4:00:00,04/12/2020 04:00:00,5:00 AM,04/12/2020 05:00:00,3,Social Media,Twitter,2,school,5,2,Sunday,
04-12,17:00:00,04/12/2020 17:00:00,6:00 PM,04/12/2020 18:00:00,3,Social Media,Twitter,2,school,5,3,Sunday,
04-12,20:00:00,04/12/2020 20:00:00,9:00 PM,04/12/2020 21:00:00,4,Socializing,Twitter,2,school,5,2,Sunday,
04-12,21:00:00,04/12/2020 21:00:00,10:00 PM,04/12/2020 22:00:00,4,Socializing,Movies with Friends,2,school,5,1,Sunday,
04-12,23:00:00,04/12/2020 23:00:00,12:00 AM,04/12/2020 00:00:00,4,Socializing,Movies with Friends,2,school,5,2,Sunday,
04-13,1:00:00,04/13/2020 01:00:00,2:00 AM,04/13/2020 02:00:00,4,Socializing,Twitter,3,school,5,2,Monday,
04-13,11:00:00,04/13/2020 11:00:00,12:00 PM,04/13/2020 12:00:00,4,Socializing,Twitter,3,school,5,2,Monday,
04-13,17:00:00,04/13/2020 17:00:00,6:00 PM,04/13/2020 18:00:00,1,Chores,Post Office,3,school,5,0,Monday,
04-13,18:00:00,04/13/2020 18:00:00,7:00 PM,04/13/2020 19:00:00,4,Socializing,iMessage,3,school,5,2,Monday,
04-13,23:00:00,04/13/2020 23:00:00,12:00 AM,04/13/2020 00:00:00,4,Socializing,Twitter,3,school,5,1,Monday,
